CustomerID,Gender,Age,Annual_Income,Spending_Score,Purchase_Frequency,Recency_Days,Avg_Order_Value
CUST1135,Male,40,44,89,22,38,243.26
CUST1136,Female,39,31,86,34,134,335.2
CUST1137,Female,68,127,59,47,200,469.05
CUST1138,Male,42,76,27,8,23,368.96
CUST1139,Female,39,98,49,40,303,115.32
CUST1140,Female,39,126,77,49,346,25.28
CUST1141,Male,66,103,33,44,302,138.51
CUST1142,Female,69,100,98,19,363,301.59
CUST1143,Male,59,27,99,42,218,35.2
CUST1144,Male,23,73,1,41,141,253.22
CUST1145,Male,32,33,21,37,104,302.45
CUST1146,Female,60,63,55,6,210,173.78
CUST1147,Female,54,114,6,26,111,387.75
CUST1148,Male,50,26,92,34,104,62.23
CUST1149,Male,25,75,81,45,316,46.82
CUST1150,Female,61,119,69,6,171,366.81
CUST1151,Male,61,33,95,37,356,252.79
CUST1152,Male,22,90,5,33,324,347.32
CUST1153,Female,56,23,3,22,133,223.07
CUST1154,Female,21,85,53,21,293,130.74
CUST1155,Male,23,42,23,6,328,411.36
CUST1156,Female,62,92,53,6,127,401.71
CUST1157,Female,49,109,37,48,106,350.4
CUST1158,Male,69,66,74,4,92,143.35
CUST1159,Female,47,97,74,30,287,299.21
CUST1160,Male,64,136,83,11,51,186.88
CUST1161,Female,52,125,17,30,29,54.88
CUST1162,Female,57,30,85,31,296,459.48
CUST1163,Female,69,131,78,24,297,77.04
CUST1164,Male,33,83,73,9,214,475.62
CUST1165,Female,30,113,1,3,267,228.54
CUST1166,Male,67,26,51,31,257,100.72
CUST1167,Male,59,39,45,40,302,275.53
CUST1168,Male,47,66,77,37,101,437.74
CUST1169,Female,36,137,4,36,346,368.79
CUST1170,Female,34,99,62,24,110,405.21
CUST1171,Male,36,114,65,31,182,332.8
CUST1172,Female,45,67,32,6,313,349.22
CUST1173,Male,43,37,34,2,1,426.11
CUST1174,Female,54,30,92,20,319,132.34
CUST1175,Male,43,71,95,28,55,249.82
CUST1176,Female,40,53,72,11,149,118.39
CUST1177,Male,26,123,39,4,309,493.96
CUST1178,Female,29,67,26,15,137,472.59
CUST1179,Male,18,56,34,6,202,29.32
CUST1180,Male,18,72,54,49,313,355.73
CUST1181,Male,64,53,3,30,117,463.37
CUST1182,Female,51,28,50,38,154,98.48
CUST1183,Female,49,109,12,2,291,288.29
CUST1184,Male,65,136,65,15,63,458.59
CUST1185,Female,42,19,54,11,244,26.63
CUST1186,Female,57,49,5,8,25,351.74
CUST1187,Female,62,101,94,26,90,155.7
CUST1188,Female,18,107,94,45,75,462.95
CUST1189,Male,33,121,57,44,294,485.82
CUST1190,Male,56,89,17,5,210,472.69
CUST1191,Female,22,32,47,6,347,242.36
CUST1192,Female,39,125,23,26,17,432.4
CUST1193,Female,46,90,79,4,128,423.83
CUST1194,Male,20,23,85,19,364,166.36
CUST1195,Male,29,88,14,20,251,416.17
CUST1196,Female,43,72,66,33,179,28.13
CUST1197,Female,33,122,75,20,182,302.17
CUST1198,Female,68,31,51,49,152,122.7
CUST1199,Female,54,139,38,12,25,69.08
